t,x,y,yaw,state,front_dist,wall_dist,wall_dist_f,side_min,min_wall_dist
0.0,0.1,0.24,0.0,FOLLOW_WALL,1.7241,0.2406,0.2406,0.2374,0.2311
0.05,0.1095,0.24,-0.0081,FOLLOW_WALL,1.6189,0.2451,0.2417,0.2444,0.2273
0.1,0.119,0.2399,-0.0158,FOLLOW_WALL,1.5553,0.2394,0.2412,0.2394,0.2334
0.15,0.1285,0.2398,-0.023,FOLLOW_WALL,1.4798,0.2381,0.2404,0.239,0.2243
0.2,0.138,0.2396,-0.0297,FOLLOW_WALL,1.421,0.2493,0.2426,0.2398,0.2264
0.25,0.1475,0.2393,-0.0361,FOLLOW_WALL,1.3771,0.2442,0.2429,0.2436,0.2224
0.3,0.157,0.2389,-0.0422,FOLLOW_WALL,1.3233,0.2453,0.2435,0.2454,0.2295
0.35,0.1665,0.2385,-0.0479,FOLLOW_WALL,1.2789,0.2411,0.2429,0.2382,0.2285
0.4,0.176,0.2381,-0.0532,FOLLOW_WALL,1.2393,0.2427,0.2429,0.2348,0.2305
0.45,0.1855,0.2376,-0.0582,FOLLOW_WALL,1.2104,0.2381,0.2417,0.2287,0.2287
0.5,0.1949,0.237,-0.0627,FOLLOW_WALL,1.1792,0.2396,0.2412,0.2389,0.2276
0.55,0.2044,0.2364,-0.067,FOLLOW_WALL,1.1451,0.2381,0.2405,0.237,0.2286
0.6,0.2139,0.2358,-0.0709,FOLLOW_WALL,1.1295,0.2349,0.2391,0.2326,0.2249
0.65,0.2234,0.2351,-0.0746,FOLLOW_WALL,1.1098,0.2425,0.2399,0.2228,0.2228
0.7,0.2328,0.2344,-0.078,FOLLOW_WALL,1.0918,0.2393,0.2398,0.2348,0.2252
0.75,0.2423,0.2337,-0.0812,FOLLOW_WALL,1.0649,0.2391,0.2396,0.2344,0.2231
0.8,0.2518,0.2329,-0.0842,FOLLOW_WALL,1.0505,0.2342,0.2383,0.2314,0.2234
0.85,0.2613,0.2321,-0.0869,FOLLOW_WALL,1.0266,0.2372,0.2381,0.2316,0.222
0.9,0.2707,0.2313,-0.0895,FOLLOW_WALL,1.0169,0.2324,0.2367,0.2298,0.2232
